Run,AccStart,AccBest,AccBestEpochNr,AccEnd
1.0,0.2903225806451613,0.35185185185185186,1.0,0.41935483870967744
2.0,0.41935483870967744,0.42592592592592593,1.0,0.41935483870967744
3.0,0.2903225806451613,0.7037037037037037,2.0,0.41935483870967744
4.0,0.41935483870967744,0.35185185185185186,0.0,0.41935483870967744
5.0,0.2903225806451613,0.42592592592592593,0.0,0.41935483870967744
6.0,0.2903225806451613,0.42592592592592593,1.0,0.41935483870967744
7.0,0.41935483870967744,0.42592592592592593,1.0,0.41935483870967744
8.0,0.27419354838709675,0.35185185185185186,128.0,0.41935483870967744
9.0,0.2903225806451613,0.42592592592592593,2.0,0.41935483870967744
10.0,0.41935483870967744,0.35185185185185186,0.0,0.41935483870967744
