Run,AccStart,AccBest,AccBestEpochNr,AccEnd
1.0,0.4460093896713615,0.986013986013986,904.0,0.9953051643192489
2.0,0.3591549295774648,0.986013986013986,3275.0,0.9976525821596244
3.0,0.20892018779342722,0.9790209790209791,1680.0,0.9953051643192489
4.0,0.5704225352112676,0.993006993006993,819.0,0.9976525821596244
5.0,0.24178403755868544,0.986013986013986,2261.0,0.9953051643192489
6.0,0.3051643192488263,0.993006993006993,1714.0,0.9953051643192489
7.0,0.6737089201877934,0.986013986013986,1270.0,0.9976525821596244
8.0,0.4765258215962441,0.986013986013986,941.0,0.9976525821596244
9.0,0.36384976525821594,0.993006993006993,1510.0,0.9929577464788732
10.0,0.3732394366197183,0.9790209790209791,609.0,0.9976525821596244
