Run,AccStart,AccBest,AccBestEpochNr,AccEnd
1.0,0.7333333333333333,0.8166666666666667,627.0,0.7666666666666667
2.0,0.5666666666666667,0.85,212.0,0.7666666666666667
3.0,0.5666666666666667,0.85,673.0,0.7333333333333333
4.0,0.43333333333333335,0.8166666666666667,801.0,0.7833333333333333
5.0,0.43333333333333335,0.8166666666666667,689.0,0.7833333333333333
6.0,0.43333333333333335,0.8666666666666667,163.0,0.9
7.0,0.5666666666666667,0.8166666666666667,606.0,0.85
8.0,0.43333333333333335,0.8166666666666667,50.0,0.85
9.0,0.43333333333333335,0.8333333333333334,868.0,0.8
10.0,0.5666666666666667,0.8166666666666667,694.0,0.8
