Run,AccStart,AccBest,AccBestEpochNr,AccEnd
1.0,0.48333333333333334,0.8,587.0,0.7416666666666667
2.0,0.5166666666666667,0.43333333333333335,0.0,0.5166666666666667
3.0,0.5166666666666667,0.8333333333333334,432.0,0.725
4.0,0.5166666666666667,0.7666666666666667,594.0,0.7583333333333333
5.0,0.625,0.8,115.0,0.775
6.0,0.5166666666666667,0.8,90.0,0.7625
7.0,0.5166666666666667,0.7666666666666667,181.0,0.7625
8.0,0.5166666666666667,0.7666666666666667,1461.0,0.7708333333333334
9.0,0.2791666666666667,0.8,358.0,0.7666666666666667
10.0,0.5166666666666667,0.8,2088.0,0.725
