Run,AccStart,AccBest,AccBestEpochNr,AccEnd
1.0,0.6428571428571429,0.9736842105263158,614.0,0.9910714285714286
2.0,0.3392857142857143,1.0,475.0,0.9910714285714286
3.0,0.33035714285714285,0.9736842105263158,910.0,0.9910714285714286
4.0,0.3392857142857143,1.0,1585.0,0.9910714285714286
5.0,0.35714285714285715,0.9736842105263158,3064.0,0.9910714285714286
6.0,0.30357142857142855,1.0,333.0,0.9910714285714286
7.0,0.3392857142857143,0.9736842105263158,2380.0,0.9910714285714286
8.0,0.35714285714285715,1.0,484.0,0.9910714285714286
9.0,0.30357142857142855,1.0,1020.0,0.9910714285714286
10.0,0.5357142857142857,0.9736842105263158,1113.0,0.9910714285714286
