Run,AccStart,AccBest,AccBestEpochNr,AccEnd
1.0,0.3225806451612903,1.0,2581.0,1.0
2.0,0.04838709677419355,1.0,5098.0,1.0
3.0,0.5403225806451613,0.9629629629629629,616.0,1.0
4.0,0.3629032258064516,0.9814814814814815,140.0,1.0
5.0,0.5967741935483871,0.9629629629629629,1121.0,1.0
6.0,0.22580645161290322,0.9444444444444444,866.0,1.0
7.0,0.12903225806451613,0.9629629629629629,365.0,1.0
8.0,0.33064516129032256,0.9629629629629629,408.0,1.0
9.0,0.4596774193548387,0.9629629629629629,380.0,1.0
10.0,0.11290322580645161,0.9629629629629629,1092.0,1.0
